Date,Store ID,Category,Units Sold,Sales Amount,Total Cost,Gross Margin,Variance Last Year %
2024-01-01,S001,Home,15,1707.29,1023.8,683.49,-0.0876
2024-01-01,S002,Kids,23,525.35,350.17,175.18,0.0904
2024-01-01,S003,Kids,22,497.54,313.7,183.84,0.2254
2024-01-01,S004,Mens,21,2065.56,1245.35,820.21,-0.1472
2024-01-01,S005,Womens,17,1459.36,802.6,656.76,-0.1313
2024-01-01,S006,Home,16,742.79,351.08,391.71,0.0974
2024-01-01,S007,Home,23,3397.93,1925.58,1472.35,0.194
2024-01-01,S008,Electronics,9,214.04,147.09,66.95,0.2363
2024-01-01,S009,Mens,9,154.4,78.39,76.01,-0.0536
2024-01-01,S010,Home,7,681.45,448.6,232.85,-0.0807
2024-01-01,S011,Womens,4,158.41,101.2,57.21,0.0201
2024-01-01,S012,Shoes,10,916.4,419.55,496.85,0.1869
2024-01-01,S013,Home,2,136.69,93.18,43.51,0.1409
2024-01-01,S014,Shoes,23,1962.19,1354.49,607.7,0.1878
2024-01-01,S015,Electronics,18,1581.45,943.63,637.82,0.2361
2024-01-01,S016,Home,13,442.32,287.75,154.57,-0.1202
2024-01-01,S017,Womens,24,1639.42,858.03,781.39,-0.1444
2024-01-01,S018,Kids,17,1887.53,1222.26,665.27,0.0924
2024-01-01,S019,Mens,7,720.27,488.88,231.39,0.19
2024-01-01,S020,Home,2,55.76,30.26,25.5,0.1175
2024-01-02,S001,Electronics,3,284.48,147.55,136.93,0.0745
2024-01-02,S002,Kids,5,730.91,484.03,246.88,0.1387
2024-01-02,S003,Shoes,7,143.21,89.89,53.32,-0.1056
2024-01-02,S004,Home,13,549.02,370.01,179.01,0.0401
2024-01-02,S005,Electronics,4,550.09,281.82,268.27,0.0142
2024-01-02,S006,Kids,4,569.14,341.32,227.82,0.1279
2024-01-02,S007,Home,2,198.58,104.04,94.54,-0.1078
2024-01-02,S008,Home,12,482.24,324.61,157.63,0.0657
2024-01-02,S009,Mens,23,3127.36,1655.94,1471.42,-0.106
2024-01-02,S010,Womens,20,1251.94,658.76,593.18,-0.0841
2024-01-02,S011,Kids,9,724.07,451.17,272.9,-0.0422
2024-01-02,S012,Kids,22,979.73,577.58,402.15,0.0115
2024-01-02,S013,Shoes,17,837.74,428.69,409.05,0.1285
2024-01-02,S014,Kids,17,594.86,416.07,178.79,-0.0433
2024-01-02,S015,Mens,2,140.98,64.61,76.37,-0.012
2024-01-02,S016,Womens,19,2031.01,1183.54,847.47,0.0291
2024-01-02,S017,Shoes,23,2431.98,1557.45,874.53,-0.0549
2024-01-02,S018,Shoes,24,1883.77,1310.83,572.94,0.0095
2024-01-02,S019,Womens,9,524.75,260.61,264.14,-0.1337
2024-01-02,S020,Home,4,68.96,39.86,29.1,-0.0594
2024-01-03,S001,Home,9,974.49,532.74,441.75,0.2247
2024-01-03,S002,Womens,11,671.48,321.21,350.27,0.2199
2024-01-03,S003,Shoes,10,498.22,306.4,191.82,0.1769
2024-01-03,S004,Womens,20,1730.06,883.13,846.93,-0.1128
2024-01-03,S005,Home,5,682.78,415.32,267.46,-0.0144
2024-01-03,S006,Kids,19,2147.08,1447.73,699.35,0.2048
2024-01-03,S007,Womens,24,3117.01,2131.75,985.26,0.1641
2024-01-03,S008,Home,3,195.77,134.11,61.66,0.2395
2024-01-03,S009,Mens,14,1247.11,776.92,470.19,0.1108
2024-01-03,S010,Womens,4,444.58,226.43,218.15,-0.0198
2024-01-03,S011,Home,24,2464.81,1632.46,832.35,0.113
2024-01-03,S012,Womens,16,442.34,239.72,202.62,-0.0439
2024-01-03,S013,Shoes,6,882.9,504.74,378.16,0.2124
2024-01-03,S014,Kids,2,124.52,76.12,48.4,0.1176
2024-01-03,S015,Womens,5,230.38,132.42,97.96,0.0788
2024-01-03,S016,Womens,17,2537.49,1439.99,1097.5,-0.0382
2024-01-03,S017,Shoes,3,347.83,239.4,108.43,-0.0177
2024-01-03,S018,Shoes,21,1937.45,1346.69,590.76,-0.1199
2024-01-03,S019,Electronics,21,856.23,442.77,413.46,0.0441
2024-01-03,S020,Mens,10,1413.81,882.23,531.58,0.078
2024-01-04,S001,Mens,15,2229.86,1081.53,1148.33,0.0573
2024-01-04,S002,Mens,17,2202.7,1066.45,1136.25,0.1336
2024-01-04,S003,Electronics,10,1242.64,810.86,431.78,0.1968
2024-01-04,S004,Electronics,7,578.93,376.06,202.87,0.11
2024-01-04,S005,Shoes,16,349.66,234.85,114.81,-0.139
2024-01-04,S006,Mens,2,148.39,91.71,56.68,-0.0187
2024-01-04,S007,Mens,22,2084.77,954.04,1130.73,-0.1351
2024-01-04,S008,Shoes,15,954.39,459.79,494.6,0.0589
