Date,State,Manufacturer,Units,Revenue,Market Share %
2024-01-31,CA,VanArsdel,1057,78737.17,0.1629
2024-01-31,CA,Abbas,452,27581.54,0.197
2024-01-31,CA,Natura,279,33401.8,0.2953
2024-01-31,CA,Piraki,860,45818.73,0.2357
2024-01-31,CA,Palma,82,9154.3,0.2555
2024-01-31,CA,Other Competitors,150,19832.57,0.3233
2024-01-31,NY,VanArsdel,819,65981.52,0.226
2024-01-31,NY,Abbas,896,73611.14,0.296
2024-01-31,NY,Natura,113,5710.63,0.2779
2024-01-31,NY,Piraki,481,62108.57,0.329
2024-01-31,NY,Palma,189,13842.97,0.3211
2024-01-31,NY,Other Competitors,154,18292.71,0.2091
2024-01-31,TX,VanArsdel,143,11239.53,0.2061
2024-01-31,TX,Abbas,570,68926.26,0.2366
2024-01-31,TX,Natura,528,42202.47,0.0858
2024-01-31,TX,Piraki,675,35680.7,0.1133
2024-01-31,TX,Palma,407,37436.25,0.0633
2024-01-31,TX,Other Competitors,468,49179.51,0.0734
2024-01-31,FL,VanArsdel,1263,75737.23,0.3065
2024-01-31,FL,Abbas,36,5023.23,0.0559
2024-01-31,FL,Natura,717,61835.9,0.2715
2024-01-31,FL,Piraki,615,35130.89,0.2803
2024-01-31,FL,Palma,72,10343.95,0.0653
2024-01-31,FL,Other Competitors,334,40949.4,0.168
2024-01-31,IL,VanArsdel,169,21292.51,0.2853
2024-01-31,IL,Abbas,846,74202.12,0.2019
2024-01-31,IL,Natura,425,32234.63,0.2753
2024-01-31,IL,Piraki,328,30473.89,0.1711
2024-01-31,IL,Palma,412,58449.59,0.25
2024-01-31,IL,Other Competitors,315,40368.69,0.2423
2024-01-31,PA,VanArsdel,160,9545.78,0.0614
2024-01-31,PA,Abbas,296,39261.22,0.1439
2024-01-31,PA,Natura,239,33812.01,0.3011
2024-01-31,PA,Piraki,715,54878.61,0.0851
2024-01-31,PA,Palma,102,6204.41,0.1378
2024-01-31,PA,Other Competitors,822,46384.25,0.0909
2024-01-31,OH,VanArsdel,164,18581.05,0.2347
2024-01-31,OH,Abbas,617,46307.43,0.1613
2024-01-31,OH,Natura,168,12251.73,0.3193
2024-01-31,OH,Piraki,683,78476.88,0.325
2024-01-31,OH,Palma,997,53205.64,0.349
2024-01-31,OH,Other Competitors,105,12421.42,0.1259
2024-01-31,GA,VanArsdel,300,34398.58,0.1809
2024-01-31,GA,Abbas,285,23790.95,0.1525
2024-01-31,GA,Natura,592,76949.29,0.1876
2024-01-31,GA,Piraki,152,19986.57,0.0972
2024-01-31,GA,Palma,240,20784.67,0.3141
2024-01-31,GA,Other Competitors,239,14884.0,0.1982
2024-01-31,NC,VanArsdel,240,25730.79,0.1855
2024-01-31,NC,Abbas,614,37621.93,0.0923
2024-01-31,NC,Natura,480,66580.89,0.1204
2024-01-31,NC,Piraki,244,13509.54,0.2325
2024-01-31,NC,Palma,671,58651.49,0.2539
2024-01-31,NC,Other Competitors,407,58471.91,0.0695
2024-01-31,MI,VanArsdel,341,19421.88,0.3104
2024-01-31,MI,Abbas,599,64444.04,0.0751
2024-01-31,MI,Natura,319,25498.43,0.2182
2024-01-31,MI,Piraki,425,24353.29,0.2692
2024-01-31,MI,Palma,288,27431.02,0.0883
2024-01-31,MI,Other Competitors,611,65191.12,0.3205
2024-02-29,CA,VanArsdel,292,42160.37,0.3176
2024-02-29,CA,Abbas,336,48234.49,0.1469
2024-02-29,CA,Natura,594,32423.16,0.2268
2024-02-29,CA,Piraki,464,59144.3,0.0949
2024-02-29,CA,Palma,566,38311.93,0.2486
2024-02-29,CA,Other Competitors,119,16845.98,0.1192
2024-02-29,NY,VanArsdel,198,26855.17,0.1875
2024-02-29,NY,Abbas,68,6799.7,0.0754
2024-02-29,NY,Natura,725,78900.85,0.127
2024-02-29,NY,Piraki,819,47278.83,0.29
2024-02-29,NY,Palma,541,74399.6,0.1525
2024-02-29,NY,Other Competitors,550,29432.61,0.2454
2024-02-29,TX,VanArsdel,470,45117.86,0.3223
2024-02-29,TX,Abbas,345,17590.92,0.072
2024-02-29,TX,Natura,407,21752.86,0.2009
2024-02-29,TX,Piraki,419,28556.78,0.275
2024-02-29,TX,Palma,171,20333.85,0.1548
2024-02-29,TX,Other Competitors,302,43387.08,0.0612
2024-02-29,FL,VanArsdel,313,42519.84,0.2264
2024-02-29,FL,Abbas,287,25765.29,0.2541
2024-02-29,FL,Natura,1327,71810.89,0.0715
2024-02-29,FL,Piraki,400,29378.86,0.1295
2024-02-29,FL,Palma,310,21595.25,0.0892
2024-02-29,FL,Other Competitors,1164,75046.56,0.1113
2024-02-29,IL,VanArsdel,163,23469.93,0.2767
2024-02-29,IL,Abbas,1062,64227.46,0.3009
2024-02-29,IL,Natura,466,35614.48,0.2227
2024-02-29,IL,Piraki,521,66663.72,0.317
2024-02-29,IL,Palma,1010,74609.91,0.1772
2024-02-29,IL,Other Competitors,44,6097.14,0.0964
2024-02-29,PA,VanArsdel,839,69610.61,0.1604
2024-02-29,PA,Abbas,95,7934.92,0.3165
2024-02-29,PA,Natura,76,6916.06,0.0594
2024-02-29,PA,Piraki,487,32819.26,0.1257
2024-02-29,PA,Palma,756,70819.88,0.1321
2024-02-29,PA,Other Competitors,766,49200.38,0.1278
2024-02-29,OH,VanArsdel,623,45968.6,0.2537
2024-02-29,OH,Abbas,329,41861.85,0.3345
2024-02-29,OH,Natura,163,13685.37,0.1459
2024-02-29,OH,Piraki,124,16338.72,0.278
2024-02-29,OH,Palma,398,41331.91,0.0679
2024-02-29,OH,Other Competitors,361,46663.05,0.2221
2024-02-29,GA,VanArsdel,213,24897.98,0.1584
2024-02-29,GA,Abbas,464,45865.5,0.1644
2024-02-29,GA,Natura,425,58915.85,0.0516
2024-02-29,GA,Piraki,741,75021.24,0.2602
2024-02-29,GA,Palma,715,69171.84,0.3005
2024-02-29,GA,Other Competitors,277,18321.49,0.2472
2024-02-29,NC,VanArsdel,504,70260.73,0.2431
2024-02-29,NC,Abbas,534,44411.69,0.344
2024-02-29,NC,Natura,232,28977.18,0.2096
2024-02-29,NC,Piraki,566,50638.43,0.3394
2024-02-29,NC,Palma,332,47876.17,0.0523
2024-02-29,NC,Other Competitors,393,47950.29,0.2735
2024-02-29,MI,VanArsdel,1444,72873.27,0.0501
2024-02-29,MI,Abbas,763,40419.76,0.3424
2024-02-29,MI,Natura,222,21654.89,0.0683
2024-02-29,MI,Piraki,501,44153.63,0.0634
2024-02-29,MI,Palma,338,30134.32,0.347
2024-02-29,MI,Other Competitors,197,20591.44,0.3462
2024-03-31,CA,VanArsdel,431,64401.44,0.3405
2024-03-31,CA,Abbas,348,41715.47,0.0831
2024-03-31,CA,Natura,290,38086.16,0.2016
2024-03-31,CA,Piraki,463,57702.43,0.126
2024-03-31,CA,Palma,736,70677.45,0.1131
2024-03-31,CA,Other Competitors,761,69906.19,0.2751
2024-03-31,NY,VanArsdel,522,46102.48,0.293
2024-03-31,NY,Abbas,548,48835.24,0.0829
2024-03-31,NY,Natura,1347,72158.4,0.309
2024-03-31,NY,Piraki,280,31997.11,0.3267
2024-03-31,NY,Palma,153,16378.0,0.2793
2024-03-31,NY,Other Competitors,602,61818.79,0.2374
2024-03-31,TX,VanArsdel,460,61814.52,0.2785
2024-03-31,TX,Abbas,210,31550.37,0.1804
2024-03-31,TX,Natura,79,6834.85,0.0883
2024-03-31,TX,Piraki,180,14108.2,0.066
2024-03-31,TX,Palma,986,56638.41,0.111
2024-03-31,TX,Other Competitors,212,11967.48,0.1303
2024-03-31,FL,VanArsdel,326,47892.42,0.3127
2024-03-31,FL,Abbas,1045,70695.04,0.1295
2024-03-31,FL,Natura,83,10729.5,0.0709
2024-03-31,FL,Piraki,625,46752.18,0.123
2024-03-31,FL,Palma,631,79304.38,0.3011
2024-03-31,FL,Other Competitors,349,47898.7,0.2436
2024-03-31,IL,VanArsdel,972,75963.03,0.2286
2024-03-31,IL,Abbas,635,56759.85,0.3139
