"order_id";"date";"late_delivery_risk";"shipping_mode";"customer_id";"department_name";"market";"city";"state";"country";"region";"product_id";"price";"cost";"quantity";"payment_type"
10076;"2024-05-17";1;"Second Class";20755;"Footwear";"Europe";"Dakar";"Dakar";"Angola";"South Africa";957;53.36;85.09;9;"CASH"
10077;"2023-09-10";0;"Same Day";5674;"Footwear";"Australia";"Kuito";"Grand Casablanca";"Angola";"South Africa";823;36.11;11.45;2;"CREDIT"
10141;"2023-07-07";1;"Same Day";2364;"Footwear";"Africa";"Ugep";"Grand Casablanca";"Angola";"Central Africa";44;75.49;86.59;1;"CASH"
10227;"2023-10-31";0;"First Class";19403;"Footwear";"Australia";"Kuito";"Bayelsa";"Angola";"North Africa";567;23.91;57.64;8;"CREDIT"
10282;"2024-01-07";1;"Same Day";2682;"Apparel";"Asia";"Casablanca";"Kinshasa";"Nigeria";"North Africa";825;96.09;58.61;9;"CREDIT"
10337;"2024-01-20";0;"Second Class";14472;"Outdoors";"Europe";"Kinshasa";"Dakar";"Angola";"Central Africa";627;72.47;51.25;9;"DEBIT"
10338;"2023-09-14";0;"First Class";1306;"Footwear";"Europe";"Casablanca";"Dakar";"Angola";"South Africa";823;10.85;9.22;5;"CASH"
10345;"2024-02-06";0;"Second Class";3995;"Footwear";"Australia";"Kuito";"Dakar";"Nigeria";"Central Africa";276;47.69;84.01;5;"CREDIT"
10399;"2022-07-16";1;"First Class";6374;"Technology";"Africa";"Kinshasa";"Grand Casablanca";"Angola";"Central Africa";172;66.35;32.84;5;"CREDIT"
10656;"2023-05-03";0;"Second Class";7697;"Golf";"Europe";"Kuito";"Bayelsa";"Nigeria";"Central Africa";905;39.1;69.77;4;"CREDIT"
10678;"2023-08-07";1;"First Class";4673;"Technology";"Australia";"Casablanca";"Grand Casablanca";"Morocco";"South Africa";828;66.62;75.93;7;"CASH"
10700;"2023-08-19";0;"First Class";11586;"Technology";"Africa";"Ugep";"Grand Casablanca";"Democratic Republic of the Congo";"South Africa";1352;67.21;40.2;3;"CREDIT"
10738;"2025-06-13";0;"Second Class";6374;"Technology";"Europe";"Kinshasa";"Cross River";"Angola";"South Africa";885;28.87;34.31;2;"DEBIT"
10796;"2024-09-28";1;"Second Class";20529;"Golf";"Europe";"Casablanca";"Bayelsa";"Angola";"North Africa";44;88.25;19.84;9;"CASH"
10836;"2023-12-27";1;"First Class";20423;"Outdoors";"Africa";"Casablanca";"Dakar";"Morocco";"Central Africa";957;30.57;84.47;7;"CREDIT"
10873;"2024-10-11";0;"First Class";19393;"Golf";"Europe";"Casablanca";"Dakar";"Angola";"Central Africa";172;59.99;16.13;2;"CASH"
10932;"2023-10-27";1;"First Class";1171;"Footwear";"Asia";"Ugep";"Bayelsa";"Senegal";"North Africa";810;94.66;31.1;2;"CASH"
10942;"2024-07-10";1;"Standard Class";5785;"Outdoors";"Europe";"Kuito";"Kinshasa";"Angola";"South Africa";825;95.13;32.51;4;"CREDIT"
10948;"2023-12-28";0;"Same Day";7783;"Apparel";"Asia";"Kinshasa";"Dakar";"Morocco";"North Africa";273;86.55;36.71;9;"DEBIT"
11013;"2023-06-01";1;"Same Day";138;"Footwear";"Europe";"Kinshasa";"Cross River";"Angola";"Central Africa";821;98.76;54.58;3;"DEBIT"
