"product_id";"product_name";"product_category_name"
24;"Elevation Training Mask 2.0";"Soccer"
37;"adidas Kids' F5 Messi FG Soccer Cleat";"Baseball & Softball"
44;"adidas Men's F10 Messi TRX FG Soccer Cleat";"Baseball & Softball"
60;"SOLE E25 Elliptical";"Basketball"
93;"Under Armour Men's Tech II T-Shirt";"Lacrosse"
116;"Nike Men's Comfort 2 Slide";"Tennis & Racquet"
134;"Nike Women's Legend V-Neck T-Shirt";"Hockey"
135;"Nike Dri-FIT Crew Sock 6 Pack";"Hockey"
172;"Nike Women's Tempo Shorts";"Cardio Equipment"
191;"Nike Men's Free 5.0+ Running Shoe";"Cardio Equipment"
203;"GoPro HERO3+ Black Edition Camera";"Strength Training"
235;"Under Armour Hustle Storm Medium Duffle Bag";"Fitness Accessories"
249;"Under Armour Women's Micro G Skulpt Running S";"Boxing & MMA"
251;"Brooks Women's Ghost 6 Running Shoe";"Boxing & MMA"
273;"Under Armour Kids' Mercenary Slide";"Electronics"
276;"Under Armour Women's Ignite Slide";"Electronics"
278;"Under Armour Men's Compression EV SL Slide";"Electronics"
282;"Under Armour Women's Ignite PIP VI Slide";"Electronics"
306;"Polar FT4 Heart Rate Monitor";"Kids' Golf Clubs"
359;"Nike Men's Free TR 5.0 TB Training Shoe";"As Seen on  TV!"
364;"Total Gym 1400";"Cleats"
365;"Perfect Fitness Perfect Rip Deck";"Cleats"
403;"Nike Men's CJ Elite 2 TD Football Cleat";"Men's Footwear"
502;"Nike Men's Dri-FIT Victory Golf Polo";"Women's Apparel"
564;"Nike Men's Deutschland Weltmeister Winners Bl";"Girls' Apparel"
565;"adidas Youth Germany Black/Red Away Match Soc";"Girls' Apparel"
567;"adidas Men's Germany Black Crest Away Tee";"Girls' Apparel"
572;"TYR Boys' Team Digi Jammer";"Girls' Apparel"
627;"Under Armour Girls' Toddler Spine Surge Runni";"Shop By Sport"
642;"Columbia Men's PFG Anchor Tough T-Shirt";"Shop By Sport"
797;"Hirzl Women's Soffft Flex Golf Glove";"Golf Balls"
804;"Glove It Women's Imperial Golf Glove";"Golf Balls"
810;"Glove It Women's Mod Oval Golf Glove";"Golf Balls"
818;"Titleist Pro V1x Golf Balls";"Electronics"
821;"Titleist Pro V1 High Numbers Personalized Gol";"Electronics"
822;"Titleist Pro V1x High Numbers Golf Balls";"Electronics"
823;"Titleist Pro V1x High Numbers Personalized Go";"Electronics"
825;"Bridgestone e6 Straight Distance NFL Tennesse";"Electronics"
828;"Bridgestone e6 Straight Distance NFL San Dieg";"Electronics"
835;"Bridgestone e6 Straight Distance NFL Carolina";"Electronics"
885;"Team Golf St. Louis Cardinals Putter Grip";"Accessories"
886;"Team Golf San Francisco Giants Putter Grip";"Accessories"
893;"Team Golf Pittsburgh Steelers Putter Grip";"Accessories"
897;"Team Golf New England Patriots Putter Grip";"Accessories"
905;"Team Golf Texas Longhorns Putter Grip";"Accessories"
906;"Team Golf Tennessee Volunteers Putter Grip";"Accessories"
917;"Glove It Women's Mod Oval 3-Zip Carry All Gol";"Trade-In"
924;"Glove It Urban Brick Golf Towel";"Trade-In"
926;"Glove It Imperial Golf Towel";"Trade-In"
957;"Diamondback Women's Serene Classic Comfort Bi";"Camping & Hiking"
977;"ENO Atlas Hammock Straps";"Hunting & Shooting"
1349;"Web Camera";"Cameras "
1350;"Children's heaters";"Children's Clothing"
1351;"Dell Laptop";"Computers"
1352;"Industrial consumer electronics";"Consumer Electronics"
1353;"Porcelain crafts";"Crafts"
1357;"Men's gala suit";"Men's Clothing"
1360;"Smart watch ";"Sporting Goods"
1363;"Summer dresses";"Women's Clothing"
